"id zanra","zanr"
"4276","Sailors -- Fiction"
"8276","Warships -- Fiction"
"10680","Scots -- England -- Fiction"
"10681","Impressment -- Fiction"
"1031","France -- History -- Louis XIV, 1643-1715 -- Fiction"
"2655","Marriage -- Drama"
"2813","Man-woman relationships -- Drama"
"13173","Norwegian drama -- Translations into English"
"13507","Wives -- Drama"
"186","Young men -- Travel -- England -- Thames River -- Fiction"
"187","Boats and boating -- England -- Thames River -- Fiction"
"188","Dogs -- Fiction"
"189","Humorous stories, English"
"190","Thames River (England) -- Fiction"
"2604","Boys -- Fiction"
"3470","Missouri -- Fiction"
"3967","Sawyer, Tom (Fictitious character) -- Fiction"
"5111","Child witnesses -- Fiction"
"7019","Runaway children -- Fiction"
"7020","Mississippi River Valley -- Fiction"
"3279","Nature stories"
"3280","Klondike River Valley (Yukon) -- Fiction"
"3281","Sled dogs -- Fiction"
"3282","Pet theft -- Fiction"
"3283","Feral dogs -- Fiction"
"3284","Animal welfare -- Fiction"
"30","Adultery -- Fiction"
"2538","Married women -- Fiction"
"3173","Man-woman relationships -- Fiction"
"3535","Erotic fiction"
"40032","Gamekeepers -- Fiction"
"40033","Disabled veterans -- Fiction"
"2496","Children -- Conduct of life -- Juvenile fiction"
"3350","Stories in rhyme"
"3351","Behavior -- Fiction"
"3605","Picture books for children"
"4564","Children's poetry, German"
"5316","Children's stories, German"
"1263","United States -- Social life and customs -- Fiction"
"1041","Great Britain -- Politics and government -- 1702-1714 -- Humor"
"2615","Time travel -- Fiction"
"4870","Men -- Psychology -- Fiction"
"7217","Individuality -- Fiction"
"13491","Rais, Gilles de, 1404-1440 -- Fiction"
"13492","France -- History -- 15th century -- Fiction"
"14836","Satanism -- Fiction"
"2692","Vampires -- Fiction"
"2713","Dracula, Count (Fictitious character) -- Fiction"
"2714","Transylvania (Romania) -- Fiction"
"2715","Whitby (England) -- Fiction"
"4575","Human-alien encounters -- Fiction"
"6858","Jupiter (Planet) -- Fiction"
"16280","Philippine fiction (Spanish) -- Translations into English"
"16281","Nationalists -- Philippines -- Fiction"
"16283","Philippines -- History -- Fiction"
"60","Historical fiction"
"99","Orphans -- Fiction"
"2719","Paris (France) -- Fiction"
"3538","Epic literature"
"5827","Ex-convicts -- Fiction"
"2605","Stepfathers -- Fiction"
"2606","Child labor -- Fiction"
"150","Private investigators -- England -- Fiction"
"2708","Murder -- Investigation -- Fiction"
"3519","Belgians -- England -- Fiction"
"3520","Poirot, Hercule (Fictitious character) -- Fiction"
"106","Shipwreck survival -- Fiction"
"108","Islands -- Fiction"
"2818","Crusoe, Robinson (Fictitious character) -- Fiction"
"2821","Atlantic Ocean -- Fiction"
"5831","Castaways -- Fiction"
"3534","Prostitutes -- Fiction"
"12177","Short stories, Russian -- Translations into English"
"16586","Russian fiction -- Translations into English"
"142","Jungles -- Fiction"
"143","India -- Fiction"
"2848","Jungle animals -- Fiction"
"3278","Mowgli (Fictitious character) -- Fiction"
"6944","Adventure stories, English"
"18485","Feral children -- Fiction"
"25971","India -- History -- 19th century -- Fiction"
"4822","English drama"
"10730","Russia -- Social conditions -- 1801-1917 -- Fiction"
"3316","Dystopias -- Fiction"
"808","War stories"
"4548","Robots -- Fiction"
"8186","Oedipus (Greek mythological figure) -- Drama"
"10282","Philippines -- History -- 1812-1898 -- Fiction"
"183","New York (N.Y.) -- Fiction"
"1699","Inheritance and succession -- Fiction"
"2539","Alcoholics -- Fiction"
"3172","Socialites -- Fiction"
"3187","British -- Europe -- Fiction"
"7319","Waterloo, Battle of, Waterloo, Belgium, 1815 -- Fiction"
"1282","London (England) -- Fiction"
"2576","Impostors and imposture -- Fiction"
"4833","Princes -- Fiction"
"5578","Edward VI, King of England, 1537-1553 -- Fiction"
"5579","Poor children -- Fiction"
"5580","Lookalikes -- Fiction"
"3303","Voyages around the world -- Fiction"
"1662","Horror tales, American"
"1946","American fiction -- 19th century"
"4566","Poe, Edgar Allan, 1809-1849"
"76","Holmes, Sherlock (Fictitious character) -- Fiction"
"2572","Detective and mystery stories, English"
"2535","Country homes -- Fiction"
"2582","Adoptees -- Fiction"
"2583","Children of the rich -- Fiction"
"2584","Cousins -- Fiction"
"2585","Uncles -- Fiction"
"896","Railroads -- Fiction"
"977","Country life -- England -- Fiction"
"2515","Family life -- Fiction"
"2661","Siblings -- Fiction"
"1494","Wagner, Richard, 1813-1883"
"8044","Composers -- Germany -- Biography"
"453","Knights and knighthood -- Fiction"
"2458","Arthurian romances -- Adaptations"
"3154","Americans -- Great Britain -- Fiction"
"4259","Kings and rulers -- Fiction"
"8081","Britons -- Fiction"
"4908","Germany -- Social life and customs -- Fiction"
"8083","Unrequited love -- Fiction"
"18073","Young men -- Germany -- Fiction"
"4893","Hamlet (Legendary character) -- Drama"
"4894","Kings and rulers -- Succession -- Drama"
"4895","Murder victims' families -- Drama"
"4896","Fathers -- Death -- Drama"
"4897","Revenge -- Drama"
"4898","Princes -- Drama"
"4899","Denmark -- Drama"
"1162","Greek drama (Comedy) -- Translations into English"
"5923","Lysistrata (Fictitious character) -- Drama"
"5924","Peace movements -- Drama"
"5925","Women and peace -- Drama"
"5926","Greece -- History -- Peloponnesian War, 431-404 B.C. -- Drama"
"16816","Aristophanes -- Translations into English"
"5260","Villages -- France -- Fiction"
"5261","France -- Social life and customs -- 19th century -- Fiction"
"2530","Governesses -- Fiction"
"2716","Ghost stories"
"2717","Children -- Fiction"
"5055","New York (State) -- History -- 1775-1865 -- Fiction"
"34300","Catskill Mountains Region (N.Y.) -- History -- 18th century -- Fiction"
"34301","Van Winkle, Rip (Fictitious character) -- Fiction"
"34302","Hudson River (N.Y. and N.J.) -- Fiction"
"5852","American drama"
"104","England -- Social life and customs -- 19th century -- Fiction"
"2587","Horror tales -- Appreciation -- Fiction"
"2588","Books and reading -- Fiction"
"18493","Gentry -- England -- Fiction"
"18497","Marriage -- Economic aspects -- Fiction"
"2503","Teachers -- Fiction"
"6806","Prince Edward Island -- History -- 20th century -- Fiction"
"17672","Shirley, Anne (Fictitious character) -- Fiction"
"34830","Totalitarianism -- Fiction"
"1375","Short stories, American"
"6906","Speech and social status -- Drama"
"8433","London (England) -- Drama"
"9219","Linguistics teachers -- Drama"
"9220","Social classes -- Drama"
"9221","Flower vending -- Drama"
"3318","Mars (Planet) -- Fiction"
"3368","Princesses -- Fiction"
"6643","Carter, John (Fictitious character) -- Fiction"
"6644","Dejah Thoris (Fictitious character) -- Fiction"
"343","Christmas stories"
"2542","Poor families -- Fiction"
"3335","Misers -- Fiction"
"3336","Sick children -- Fiction"
"3337","Scrooge, Ebenezer (Fictitious character) -- Fiction"
"131","Fairy tales"
"140","Children's stories, English"
"4674","Short stories, English"
"2602","Triangles (Interpersonal relations) -- Fiction"
"2908","Great Britain -- History -- Richard I, 1189-1199 -- Fiction"
"6689","Jews -- England -- Fiction"
"6690","Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction"
"6691","Anglo-Saxons -- Fiction"
"18503","Normans -- Great Britain -- Fiction"
"11405","Space stations -- Fiction"
"535","English drama (Comedy)"
"5025","English drama -- 17th century"
"17839","City and town life -- Drama"
"17840","Alchemists -- Drama"
"4505","Stream of consciousness fiction"
"5859","Experimental fiction"
"7030","Fiction -- Authorship -- Fiction"
"7031","Infants -- Fiction"
"7032","Fetus -- Fiction"
"3310","Giants -- Fiction"
"4891","Fantasy fiction, French -- Translations into English"
"4892","Gargantua (Legendary character) -- Fiction"
"3546","Burglars -- Fiction"
"3547","Lupin, Arsène (Fictitious character) -- Fiction"
"3548","Adventure stories, French -- Translations into English"
"4709","Mystery and detective stories"
"109","Women -- Louisiana -- New Orleans -- Social conditions -- Fiction"
"111","New Orleans (La.) -- Fiction"
"2897","Louisiana -- Social life and customs -- Fiction"
"3325","Gifts -- Fiction"
"2650","Anarchists -- Fiction"
"3532","Allegories"
"4383","Police -- Fiction"
"2594","Political fiction"
"3964","British -- India -- Fiction"
"5311","Race relations -- Fiction"
"16243","India -- Social conditions -- 20th century -- Fiction"
"4083","Advertising -- Fiction"
"5163","College students -- Fiction"
"7093","World War, 1914-1918 -- Veterans -- Fiction"
"15309","Robots -- Drama"
"15310","Science fiction plays"
"33307","Czech drama -- Translations into English"
"3537","Sadomasochism -- Fiction"
"10961","Fantasy fiction, American"
"19640","Conan (Fictitious character) -- Fiction"
"1110","Germany -- Fiction"
"7050","Clothing and dress -- Fiction"
"7051","Philosophers -- Fiction"
"5577","Businessmen -- Fiction"
"5948","Middle-aged men -- Fiction"
"18308","Conformity -- Fiction"
"9803","Sex customs -- Fiction"
"3530","Plague -- Europe -- History -- Fiction"
"3531","Storytelling -- Fiction"
"3533","Frame-stories"
"3528","Love"
"3545","Sex"
"4860","Satire, English"
"5013","Inheritance and succession -- Drama"
"5046","Venice (Italy) -- Drama"
"17853","Extortion -- Drama"
"22180","Louis XV, King of France, 1710-1774 -- Fiction"
"25","Fiction"
"5294","Space colonies -- Fiction"
"7706","French drama -- 17th century -- Translations into English"
"1701","Fathers and sons -- Fiction"
"2786","Russia -- Social life and customs -- 1533-1917 -- Fiction"
"5423","Brothers -- Fiction"
"2532","Mentally ill women -- Fiction"
"2603","Feminist fiction"
"2766","Married women -- Psychology -- Fiction"
"2767","Sex role -- Fiction"
"8275","Flagellation -- Fiction"
"29372","Erotic fiction, French"
"4549","Space ships -- Fiction"
"4883","Life on other planets -- Fiction"
"9112","Solar Queen (Imaginary space vehicle) -- Fiction"
"8020","Prometheus (Greek deity) -- Drama"
"8021","Seven against Thebes (Greek mythology) -- Drama"
"8022","Polynices (Greek mythological figure) -- Drama"
"8023","Eteocles, King of Thebes (Mythological character) -- Drama"
"8024","Thebes (Greece) -- Drama"
"2445","Humorous poetry, English"
"3123","English poetry -- 19th century"
"34612","Great Britain -- Colonies -- Africa -- Poetry"
"12203","Trehern, Kerara (Fictitious character) -- Fiction"
"12204","Fox, Travis (Fictitious character) -- Fiction"
"12205","Ashe, Gordon (Fictitious character) -- Fiction"
"4807","Telepathy -- Fiction"
"28720","Psychic ability -- Fiction"
"46","Fantasy literature"
"25335","Animals, Mythical -- Fiction"
"5152","Medical fiction"
"1495","Family -- Fiction"
"6872","Electricity -- Fiction"
"3235","Peter Pan (Fictitious character) -- Fiction"
"3236","Never-Never Land (Imaginary place) -- Fiction"
"3243","Pirates -- Fiction"
"9210","Fairies -- Fiction"
"69","France -- History -- Revolution, 1789-1799 -- Fiction"
"465","London (England) -- History -- 18th century -- Fiction"
"2626","Executions and executioners -- Fiction"
"3502","French -- England -- London -- Fiction"
"8746","British -- France -- Paris -- Fiction"
"8747","Paris (France) -- History -- 1789-1799 -- Fiction"
"2433","Arthur, King -- Legends"
"3301","Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction"
"3302","Russia -- History -- Alexander I, 1801-1825 -- Fiction"
"15214","Aristocracy (Social class) -- Russia -- Fiction"
"4734","German poetry -- Translations into English"
"5058","Legends -- Germany -- Drama"
"6922","Faust, -approximately 1540 -- Drama"
"6923","Magicians -- Drama"
"2649","Conspiracies -- Fiction"
"9451","Magic -- Fiction"
"185","Orphans -- Juvenile fiction"
"4258","People with disabilities -- Juvenile fiction"
"13050","Gardens -- Juvenile fiction"
"35942","Yorkshire (England) -- Juvenile fiction"
"3317","Martians -- Fiction"
"3319","Space warfare -- Fiction"
"3320","Imaginary wars and battles -- Fiction"
"5488","Short stories, French -- Translations into English"
"5605","French fiction -- Translations into English"
"7111","Metamorphosis -- Fiction"
"2482","Motherless families -- Fiction"
"2483","Rejection (Psychology) -- Fiction"
"2484","First loves -- Fiction"
"2485","Dysfunctional families -- Fiction"
"18494","Regency fiction"
"2591","Social problems -- Fiction"
"2592","Utilitarianism -- Fiction"
"2593","Education -- Fiction"
"7029","Optimism -- Fiction"
"2830","Rich people -- Fiction"
"4139","Long Island (N.Y.) -- Fiction"
"7021","Finn, Huckleberry (Fictitious character) -- Fiction"
"7022","Fugitive slaves -- Fiction"
"7023","Mississippi River -- Fiction"
"1703","Revenge -- Fiction"
"3156","Prisoners -- Fiction"
"3242","France -- History -- 19th century -- Fiction"
"3263","Dantès, Edmond (Fictitious character) -- Fiction"
"2318","Physicians -- Fiction"
"2698","Self-experimentation in medicine -- Fiction"
"2699","Multiple personality -- Fiction"
"5202","Rabbits -- Juvenile fiction"
"27","Classical literature"
"697","Epic poetry, Greek -- Translations into English"
"1209","Achilles (Mythological character) -- Poetry"
"1210","Trojan War -- Poetry"
"2533","Charity-schools -- Fiction"
"3199","Dublin (Ireland) -- Fiction"
"3539","Artists -- Fiction"
"3540","Jewish men -- Fiction"
"3541","Alienation (Social psychology) -- Fiction"
"122","Slavery -- Fiction"
"2625","Master and servant -- Fiction"
"2730","African Americans -- Fiction"
"3076","Southern States -- Fiction"
"7316","Plantation life -- Fiction"
"7771","Uncle Tom (Fictitious character) -- Fiction"
"7772","Enslaved persons -- Fiction"
"979","Gautama Buddha -- Fiction"
"3687","India -- Social life and customs -- Fiction"
"6075","Spiritual life -- Fiction"
"16371","Self-realization -- Fiction"
"18080","Buddhism -- Fiction"
"18081","Buddhist philosophy -- Fiction"
"32989","Brahmans -- Fiction"
"32990","India -- Religion -- Fiction"
"4203","Fairy tales -- Germany"
"16867","Dostoyevsky, Fyodor, 1821-1881 -- Translations into English"
"853","Achilles (Mythological character)"
"854","Trojan War"
"4957","San Francisco (Calif.) -- Fiction"
"10204","United States. Dept. of Homeland Security -- Fiction"
"10205","Terrorism -- Fiction"
"10206","Computer hackers -- Fiction"
"10207","Civil rights -- Fiction"
"10208","Counterculture -- Fiction"
"288","People with disabilities -- Fiction"
"1893","France -- History -- Louis XI, 1461-1483 -- Fiction"
"2560","Clergy -- Fiction"
"3268","Paris (France) -- History -- To 1515 -- Fiction"
"3269","Notre-Dame de Paris (Cathedral) -- Fiction"
"7405","Romances"
"763","Spain -- Social life and customs -- 16th century -- Fiction"
"764","Knights and knighthood -- Spain -- Fiction"
"4935","Nihilism -- Fiction"
"13859","Terrorists -- Russia -- Fiction"
"2400","English language -- Dictionaries -- Humor"
"2401","English language -- Semantics -- Humor"
"11190","Vocabulary -- Humor"
"2241","Musical fiction"
"2689","Opera -- Fiction"
"2720","Composers -- Fiction"
"2721","Phantom of the Opera (Fictitious character) -- Fiction"
"725","France -- History -- Louis XIII, 1610-1643 -- Fiction"
"2822","Adventure and adventurers -- Fiction"
"3246","Swordsmen -- Fiction"
"462","Wolfdogs -- Fiction"
"2894","Canada, Northern -- Fiction"
"7358","Interpersonal relations -- Fiction"
"9207","Self-perception -- Fiction"
"9208","Universities and colleges -- Fiction"
"9209","Nova Scotia -- History -- 20th century -- Fiction"
"20775","Trials -- Fiction"
"6578","Horses -- Juvenile fiction"
"11725","Human-animal relationships -- Juvenile fiction"
"12375","Great Britain -- History -- 19th century -- Juvenile fiction"
"2690","Children of clergy -- Fiction"
"4337","England, Northern -- Fiction"
"5037","Courtship -- Drama"
"5042","Athens (Greece) -- Drama"
"5043","Fairy plays"
"4316","Shipwreck victims -- Drama"
"5008","Fathers and daughters -- Drama"
"6953","Political refugees -- Drama"
"6954","Islands -- Drama"
"6955","Spirits -- Drama"
"6956","Tragicomedy"
"93","Meat industry and trade -- Fiction"
"515","Working class -- Fiction"
"2673","Lithuanian Americans -- Fiction"
"2674","Stockyards -- Fiction"
"2675","Immigrants -- Fiction"
"2676","Chicago (Ill.) -- Fiction"
"11837","Islands of the Pacific -- Fiction"
"5100","Suicide victims -- Fiction"
"15061","Middle-aged women -- Fiction"
"292","Puppets -- Juvenile fiction"
"17674","Pinocchio (Fictitious character) -- Juvenile fiction"
"2010","English wit and humor"
"480","American wit and humor"
"4959","American literature -- Humor"
"1066","United States -- History -- Civil War, 1861-1865 -- Fiction"
"1082","Virginia -- History -- Civil War, 1861-1865 -- Fiction"
"6707","Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction"
"843","Jesus Christ -- Fiction"
"2836","Christian fiction"
"84","Challenger, Professor (Fictitious character) -- Fiction"
"4496","South America -- Fiction"
"6594","Prehistoric peoples -- Fiction"
"6595","Dinosaurs -- Fiction"
"9835","Wall Street (New York, N.Y.) -- Fiction"
"16056","Copyists -- Fiction"
"107","Animal experimentation -- Fiction"
"38337","Science -- Ethics -- Fiction"
"11560","Sex (Psychology)"
"7186","Sexual ethics"
"11673","Sexual health"
"8217","Sex instruction"
"10005","Accident victims -- Fiction"
"10006","Rural poor -- Fiction"
"7189","Menstruation"
"9787","Women -- Diseases"
"27784","Gynecology"
"9984","Erotic literature, American"
"10417","Pornography"
"8913","Cyrano de Bergerac, 1619-1655 -- Drama"
"18263","Authors, French -- 17th century -- Drama"
"18264","France -- History -- 17th century -- Drama"
"2620","Guardian and ward -- Fiction"
"18163","Wales, South -- Social life and customs -- 19th century -- Fiction"
"5990","Outer space -- Exploration -- Fiction"
"28719","Space security -- Fiction"
"1284","Utopias -- Fiction"
"2895","Women -- Fiction"
"3308","Utopian fiction"
"6804","Black humor"
"6989","Epic poetry, Italian -- Translations into English"
"18337","Italian poetry -- To 1400 -- Translations into English"
"6427","Erotic literature"
"32488","Sex customs -- Rome"
"32489","Sex customs -- Greece"
"1807","English language -- Errors of usage"
"2656","England -- Drama"
"12601","Identity (Psychology) -- Drama"
"18367","Foundlings -- Drama"
"233","Wit and humor"
"9115","Practical jokes -- Juvenile poetry"
"14328","Spouses -- Fiction"
"10768","England -- Social life and customs"
"12523","University of Oxford -- Anecdotes"
"35604","Aphrodisiacs -- History"
"9016","Science fiction -- Periodicals"
"9017","Science fiction, American -- Periodicals"
"29740","Erotic literature, French"
"3478","Marriage"
"3660","Medicine, Popular"
"8767","Benefactors -- Fiction"
"13499","Erotic literature -- Early works to 1800"
"25490","Paraphilias -- Early works to 1800"
"25491","Sex customs -- Early works to 1800"
"623","English essays"
"18405","Ancients and moderns, Quarrel of"
"15837","Sex -- Popular works"
"2177","Fables, French -- Translations into English"
"4071","Humorous poetry, American"
"18658","Seduction -- Poetry"
"6375","Tales -- Arab countries"
"3352","Children's stories, German -- Translations into English"
"5317","Children's poetry, German -- Translations into English"
"7371","English language -- Rhetoric"
"13601","English language -- Style"
"21985","Report writing"
"2403","English poetry -- Early modern, 1500-1700"
"2459","Knights and knighthood -- Poetry"
"14471","Virtues -- Poetry"
"1036","American poetry"
"5712","Words and phrase lists -- English"
"17902","French essays -- Translations into English"
"8815","Juan, Don (Legendary character) -- Poetry"
"1417","Wilde, Oscar, 1854-1900"
"4823","Suffering"
"4824","Grief"
"4825","Imprisonment"
"29585","English language -- 19th century -- Synonyms and antonyms"
"748","Aesthetics"
"2080","Music -- Philosophy and aesthetics"
"4388","Tragedy"
"17234","Greek drama (Tragedy) -- History and criticism -- Theory, etc."
"17235","Mythology, Greek, in literature"
"17236","Tragic, The"
"11079","American poetry -- 19th century"
"502","English poetry"
"17713","Voyages and travels -- Poetry"
"17714","Pilgrims and pilgrimages -- Europe -- Poetry"
"5874","Latin language -- Readers"
"5015","Regicides -- Drama"
"5016","Macbeth, King of Scotland, active 11th century -- Drama"
"5017","Scotland -- Kings and rulers -- Drama"
"5171","Mysticism"
"5867","Hell"
"6100","Heaven"
"4457","Pastoral poetry"
"6864","English poetry -- 18th century"
"961","History, Ancient"
"10716","Greece -- History -- To 146 B.C."
"2611","Girls -- Fiction"
"6805","Country life -- Prince Edward Island -- Fiction"
"6807","Canada -- History -- 1867-1914 -- Fiction"
"4929","State, The -- Early works to 1800"
"18267","Political science -- Philosophy -- Early works to 1800"
"18268","Political ethics -- Early works to 1800"
"2811","War -- Drama"
"2812","Love -- Drama"
"17895","Serbo-Bulgarian War, 1885 -- Drama"
"17896","Italians -- Bulgaria -- Drama"
"17897","Soldiers -- Bulgaria -- Drama"
"17898","Bulgaria -- Drama"
"4326","Americans -- France -- Fiction"
"6537","Americans -- Spain -- Fiction"
"37318","Ashley, Brett (Fictitious character) -- Fiction"
"37319","Expatriation -- Fiction"
"37320","Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction"
"516","Authors -- Fiction"
"2942","Washington (D.C.) -- Fiction"
"3155","Legislators -- Fiction"
"3772","Speculation -- Fiction"
"5576","Political corruption -- Fiction"
"5405","Archer, Isabel (Fictitious character) -- Fiction"
"5406","Americans -- Italy -- Fiction"
"6527","Christian pilgrims and pilgrimages -- Fiction"
"1301","Economics"
"642","World War, 1914-1918 -- Fiction"
"16067","Military deserters -- Fiction"
"40969","Military hospitals -- Fiction"
"40970","Soldiers -- United States -- Fiction"
"40971","War wounds -- Fiction"
"40972","World War, 1914-1918 -- Campaigns -- Italy -- Fiction"
"40973","World War, 1914-1918 -- Medical care -- Fiction"
"45","Oz (Imaginary place) -- Juvenile fiction"
"11064","Courage -- Juvenile fiction"
"11259","Home -- Juvenile fiction"
"19597","Good and evil -- Juvenile fiction"
"23379","Dreams -- Juvenile fiction"
"25081","Gale, Dorothy (Fictitious character) -- Juvenile fiction"
"25084","Cowardly Lion (Fictitious character) -- Juvenile fiction"
"25085","Cyclones -- Juvenile fiction"
"25086","Scarecrow (Fictitious character from Baum) -- Juvenile fiction"
"25087","Toto (Fictitious character) -- Juvenile fiction"
"25088","Witches -- Juvenile fiction"
"25089","Wizard of Oz (Fictitious character) -- Juvenile fiction"
"25090","Tin Woodman (Fictitious character) -- Juvenile fiction"
"3170","Nobility -- Fiction"
"3577","Deception -- Fiction"
"3578","Art teachers -- Fiction"
"3579","Psychiatric hospital patients -- Fiction"
"320","Scotland -- History -- 18th century -- Fiction"
"3296","Kidnapping -- Fiction"
"6318","Indexes"
"12600","Women -- Social conditions -- Drama"
"1414","Conduct of life -- Juvenile fiction"
"6638","Aunts -- Juvenile fiction"
"18245","Cheerfulness -- Juvenile fiction"
"18246","Interpersonal relations -- Juvenile fiction"
"18247","Vermont -- History -- 20th century -- Juvenile fiction"
"917","Dogs -- Juvenile fiction"
"3674","Wit and humor, Juvenile"
"3961","Voyages and travels -- Juvenile fiction"
"7834","Youth -- Conduct of life -- Juvenile fiction"
"11018","Queens -- Juvenile fiction"
"11050","Kings and rulers -- Juvenile fiction"
"11145","Courtship -- Juvenile fiction"
"11950","Voyages, Imaginary -- Juvenile fiction"
"12252","Youth and death -- Juvenile fiction"
"22474","Women -- India -- Social conditions"
"22475","Prostitution -- India"
"22476","Women -- India -- Conduct of life"
"3321","Separated people -- Fiction"
"3322","Upper class -- Fiction"
"1577","Cuba -- History"
"11826","Cuba -- Economic conditions"
"101","Boarding schools -- Fiction"
"2541","Theatrical companies -- Fiction"
"2002","Folklore -- England"
"7322","Robin Hood (Legendary character) -- Legends"
"5104","American fiction -- 20th century"
"10105","Women -- History"
"20847","Women scientists"
"9994","Women -- Suffrage -- United States -- History"
"9995","Women -- Suffrage -- History"
"9996","Women's rights -- United States -- History"
"9997","Women's rights -- History"
"626","Women -- Social and moral questions"
"1167","Women -- Social conditions"
"18258","Sexism"
"29386","Peninsular War, 1807-1814"
"105","Science fiction, English"
"29","Feminism"
"3477","Anarchism"
"118","Venice (Italy) -- Fiction"
"8236","Parables"
"33903","Homosexuality -- Fiction"
"36800","Middle age -- Fiction"
"217","Women's rights -- United States"
"2264","Women's rights"
"4830","Women and religion"
"26663","Women's rights -- Religious aspects"
"1808","Women -- Health and hygiene"
"2186","Interior decoration"
"2945","Physiology -- Popular works"
"3055","Decoration and ornament"
"3584","Beauty, Personal"
"6242","Conduct of life -- Early works to 1900"
"7180","Cosmetics"
"7181","Traditional medicine"
"7187","Pregnancy"
"7188","Cooking for the sick"
"2684","Boston (Mass.) -- Fiction"
